Instruction,Output
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:For nine wafers based on Ge/SiGe heterostructures for lasers with target frequencies of 0.75 and 0.92 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer.","0.75 THz, 0.92 THz"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The laser exhibited an impressive optical power of 60mW at a threshold current density of 600 A/cm2 at 25K, despite its small size of 80mm in width and 1mm in length, in continuous-wave mode.",60 mW
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: Setting a new standard for laser technology, the latest resonant-phonon terahertz quantum-cascade laser has achieved a remarkable 119 K heat-sink temperature, showcasing its incredible efficiency and performance.",resonant-phonon
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:During the simulation, the maximum heatsink temperature (Tmax) achieved by the device in pulsed operation was 300 K.",300 K
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Innovative GaAs/AlGaAs quantum cascade lasers composed of six quantum wells have been successfully demonstrated to operate at 5.47 THz.",GaAs/AlGaAs
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:By utilizing a bound-to-continuum active region and semi-insulating surface-plasmon waveguide design, we have successfully demonstrated the prolonged functioning of terahertz quantum cascade lasers emitting at 3.2 THz in continuous-wave mode.	",3.2 THz
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In an effort to improve stability, a five-well period of Al0.5Ga0.5As/In0.4Ga0.6As materials has been incorporated into the QCL.",Al0.5Ga0.5As/In0.4Ga0.6As
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The impressive pulsed Tmax of 215 K for this terahertz QCL is unmatched, despite its design having a lower radiative oscillator strength.",215 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: The use of an advanced scattering-assisted injection and resonant-phonon depopulating approach resulted in the successful fabrication of a 9.2 THz quantum cascade laser, a first of its kind.",resonant-phonon
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A three-well period has been incorporated into the QCL, consisting of a InAs/Al0.4Ga0.6As material system.",InAs/Al0.4Ga0.6As
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A significant advancement was made in laser technology with the use of resonant-phonon terahertz quantum-cascade lasers, which operated at a heat-sink temperature of 170 K.",resonant-phonon
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The output power of 25mW was obtained with a threshold current density of 200 A/cm2 at 10K from a 40-mm-wide and 0.625-mm-long laser in cw operation.",25 mW
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We report terahertz quantum-cascade lasers operating predominantly at 2.19 THz with side modes as low as 2.12 THz.","2.19 THz, 2.12 THz"
